,c_name,c_type,definition,relation,sub_name,link
435,Trade Finance Management,Capability,The ability to support banking products specific to trade finance activities. ,served by,Bank Guarantee,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44405
436,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",composed of,Payment Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=175220
437,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",composed of,Payment Notification,https://bian.org/servicelandscape-12-0-0/object_6.html?object=175222
438,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",composed of,Payment Valuation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=175230
439,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",composed of,Payment Validation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=175232
440,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
441,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Payment Initiation,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29967
442,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Direct Debit,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32677
443,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Accounts Receivable,https://bian.org/servicelandscape-12-0-0/object_21.html?object=33800
444,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Payment Order,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35550
445,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Payment Execution,https://bian.org/servicelandscape-12-0-0/object_21.html?object=39023
446,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Transaction Engine,https://bian.org/servicelandscape-12-0-0/object_22.html?object=41033
447,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Disbursement,https://bian.org/servicelandscape-12-0-0/object_22.html?object=41459
448,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Cheque Lock Box,https://bian.org/servicelandscape-12-0-0/object_22.html?object=45481
449,Payment Management,Capability,"Ability to determine, approve, commit, execute, record, or report on an obligation to remit or receive a monetary value between the bank, customer, partner, or other external party. 
 ",served by,Direct Debit Mandate,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46204
450,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",composed of,Financial Plan Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=118787
451,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",composed of,End of Life Planning,https://bian.org/servicelandscape-12-0-0/object_6.html?object=118795
452,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",composed of,Goal Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=118803
453,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",composed of,Financial Plan Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=118809
454,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",composed of,Tax Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=118813
455,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
456,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",served by,Corporate Tax Advisory,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29854
457,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",served by,Corporate Finance,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32352
458,Financial Plan Management,Capability,"Ability to create, monitor etc... a financial plan for a customer. ",served by,Consumer Advisory Services,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44522
459,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Allocation Determination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217001
460,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Market Research,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217003
461,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Valuation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217014
462,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217020
463,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217028
464,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",composed of,Investment Portfolio Definition,https://bian.org/servicelandscape-12-0-0/object_6.html?object=217038
465,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
466,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Investment Portfolio Management,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32159
467,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Investment Portfolio Analysis,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37857
468,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Hedge Fund Administration,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37932
469,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Unit Trust Administration,https://bian.org/servicelandscape-12-0-0/object_21.html?object=39425
470,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Mutual Fund Administration,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46265
471,Investment Portfolio Management,Capability,"Ability to control, organize, allocate, and balance risk, return and volatility for  a set of monetary assets purchased with the intent of providing future income or to  be sold at a higher price for a profit.",served by,Investment Portfolio Planning,https://bian.org/servicelandscape-12-0-0/object_23.html?object=48534
472,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",composed of,Money Movement Validation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=212550
473,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",composed of,Money Movement Processing,https://bian.org/servicelandscape-12-0-0/object_6.html?object=212554
474,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",composed of,Money Movement Request Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=212562
475,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",composed of,Money Movement Routing Determination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=212568
476,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",composed of,Money Movement Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=212576
477,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
478,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Financial Gateway,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29241
479,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card Transaction Switch,https://bian.org/servicelandscape-12-0-0/object_20.html?object=29401
480,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card Financial Settlement,https://bian.org/servicelandscape-12-0-0/object_21.html?object=34230
481,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card Transaction Capture,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35397
482,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,ACH Operations,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36614
483,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Cash Management And Account Services,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36789
484,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card Clearing,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36804
485,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card eCommerce Gateway,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40009
486,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Credit Card,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40448
487,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Card Authorization,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44578
488,Money Movement Management,Capability,"Ability to request, initiate, authorize, validate, record, execute and settle an instance of a monetary transfer between parties or financial accounts.",served by,Transaction Authorization,https://bian.org/servicelandscape-12-0-0/object_23.html?object=48811
489,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Development,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130219
490,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Deployment,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130262
491,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=131146
492,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Pricing (Determination),https://bian.org/servicelandscape-12-0-0/object_6.html?object=131482
493,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=131525
494,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Version Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215489
495,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Eligibility Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215491
496,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",composed of,Product Sourcing,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215525
497,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
498,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Products and Services Direction,https://bian.org/servicelandscape-12-0-0/object_21.html?object=33781
499,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Discount Pricing,https://bian.org/servicelandscape-12-0-0/object_21.html?object=34416
500,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Directory,https://bian.org/servicelandscape-12-0-0/object_21.html?object=34953
501,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Inventory Item Management,https://bian.org/servicelandscape-12-0-0/object_21.html?object=35580
502,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Portfolio,https://bian.org/servicelandscape-12-0-0/object_21.html?object=36619
503,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Sales Product,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37972
504,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Deployment,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40177
505,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Quality Assurance,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40811
506,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,ATM Network Management,https://bian.org/servicelandscape-12-0-0/object_20.html?object=42253
507,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Brokered Product,https://bian.org/servicelandscape-12-0-0/object_20.html?object=42491
508,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Inventory Distribution,https://bian.org/servicelandscape-12-0-0/object_22.html?object=42907
509,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Combination,https://bian.org/servicelandscape-12-0-0/object_22.html?object=43096
510,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Design,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44093
511,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Sales Support,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44680
512,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Product Matching,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44814
513,Product Management,Capability,"Ability to conceptualize, design, develop, bundle, source, maintain, and retire a named combination of goods and services that can be offered to customers, in whole or in part, to satisfy the customer's overall needs and desires. ",served by,Special Pricing Conditions,https://bian.org/servicelandscape-12-0-0/object_22.html?object=47199
514,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,composed of,Trust Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=83319
515,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,composed of,Trust Access Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=83325
516,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,composed of,Fiduciary Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=83327
517,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,is part of,Product and Service Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147498
518,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,served by,Trust Services,https://bian.org/servicelandscape-12-0-0/object_20.html?object=33076
519,Trust Management,Capability,Ability to administer a trust on behalf of a customer.,served by,Corporate Trust Services,https://bian.org/servicelandscape-12-0-0/object_22.html?object=46859
520,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",composed of,Collateral Valuation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130693
521,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",composed of,Collateral Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=210197
522,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",composed of,Collateral Validation,https://bian.org/servicelandscape-12-0-0/object_6.html?object=210205
523,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",composed of,Collateral Lifecycle Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=210211
524,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",served by,Leasing Item Administration,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37220
525,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",served by,Collateral Asset Administration,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37744
526,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",served by,Collections,https://bian.org/servicelandscape-12-0-0/object_22.html?object=44734
527,Collateral Management,Capability,"Ability to establish, organize, analyze, administer, and report on all aspects of property or other asset that a customer offers as security to a borrowing or lending agreement. ",served by,Collateral Allocation Management,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47470
528,Intellectual Property Management,Capability,"Ability to define, establish, validate, value, obtain, or dispose of an intangible work or invention that is the result of creativity , to which one has rights and which may be formally covered by patent, copyright, trademark, or similar registration and protection. ",composed of,Intellectual Property Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215324
529,Intellectual Property Management,Capability,"Ability to define, establish, validate, value, obtain, or dispose of an intangible work or invention that is the result of creativity , to which one has rights and which may be formally covered by patent, copyright, trademark, or similar registration and protection. ",composed of,Intellectual Property Protection Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215340
530,Intellectual Property Management,Capability,"Ability to define, establish, validate, value, obtain, or dispose of an intangible work or invention that is the result of creativity , to which one has rights and which may be formally covered by patent, copyright, trademark, or similar registration and protection. ",composed of,Intellectual Property Identification,https://bian.org/servicelandscape-12-0-0/object_6.html?object=215346
531,Intellectual Property Management,Capability,"Ability to define, establish, validate, value, obtain, or dispose of an intangible work or invention that is the result of creativity , to which one has rights and which may be formally covered by patent, copyright, trademark, or similar registration and protection. ",served by,Intellectual Property Portfolio,https://bian.org/servicelandscape-12-0-0/object_22.html?object=43362
532,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",composed of,Facilities And Equipment Utilization Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=130224
533,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",composed of,Facilities And Equipment Maintenance (Upkeep),https://bian.org/servicelandscape-12-0-0/object_6.html?object=131488
534,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",composed of,Facilities And Equipment Acquisition,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211088
535,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",composed of,Facility And Equipment Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211096
536,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",composed of,Facilities And Equipment Relinquishment,https://bian.org/servicelandscape-12-0-0/object_6.html?object=211105
537,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",is part of,Enterprise Enabling,https://bian.org/servicelandscape-12-0-0/object_25.html?object=147506
538,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Site Administration,https://bian.org/servicelandscape-12-0-0/object_20.html?object=28927
539,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,System Deployment,https://bian.org/servicelandscape-12-0-0/object_20.html?object=30027
540,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Property Portfolio,https://bian.org/servicelandscape-12-0-0/object_20.html?object=30151
541,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Systems Assurance,https://bian.org/servicelandscape-12-0-0/object_21.html?object=30576
542,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Production Release,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32518
543,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Utilities Administration,https://bian.org/servicelandscape-12-0-0/object_21.html?object=32750
544,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Internal Network Operation,https://bian.org/servicelandscape-12-0-0/object_20.html?object=33591
545,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Systems Help Desk,https://bian.org/servicelandscape-12-0-0/object_21.html?object=37506
546,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Site Operations,https://bian.org/servicelandscape-12-0-0/object_21.html?object=39185
547,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Building Maintenance,https://bian.org/servicelandscape-12-0-0/object_22.html?object=40075
548,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Systems Operations,https://bian.org/servicelandscape-12-0-0/object_22.html?object=41350
549,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,System Development,https://bian.org/servicelandscape-12-0-0/object_20.html?object=41965
550,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Equipment Administration,https://bian.org/servicelandscape-12-0-0/object_22.html?object=43461
551,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Platform Operations,https://bian.org/servicelandscape-12-0-0/object_22.html?object=47359
552,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Equipment Maintenance,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47550
553,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Development Environment,https://bian.org/servicelandscape-12-0-0/object_23.html?object=47827
554,Facility and Equipment Management,Capability,"Ability to manage the lifecycle of the company’s physical property from planning to lease and space management, maintenance, and repair.  
 ",served by,Systems Administration,https://bian.org/servicelandscape-12-0-0/object_23.html?object=48356
555,Human Capital Management,Capability,"Ability to acquire, train, compensate, provide benefit to, support the ongoing management and ultimate termination of the company’s personnel including full-time and temporarry staff and contractors. ",composed of,Human Capital Association Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=132691
556,Human Capital Management,Capability,"Ability to acquire, train, compensate, provide benefit to, support the ongoing management and ultimate termination of the company’s personnel including full-time and temporarry staff and contractors. ",composed of,Human Capital Performance Management,https://bian.org/servicelandscape-12-0-0/object_6.html?object=216521
557,Human Capital Management,Capability,"Ability to acquire, train, compensate, provide benefit to, support the ongoing management and ultimate termination of the company’s personnel including full-time and temporarry staff and contractors. ",composed of,Human Capital Termination,https://bian.org/servicelandscape-12-0-0/object_6.html?object=216525
558,Human Capital Management,Capability,"Ability to acquire, train, compensate, provide benefit to, support the ongoing management and ultimate termination of the company’s personnel including full-time and temporarry staff and contractors. ",composed of,Human Capital Acquisition,https://bian.org/servicelandscape-12-0-0/object_6.html?object=216531
559,Human Capital Management,Capability,"Ability to acquire, train, compensate, provide benefit to, support the ongoing management and ultimate termination of the company’s personnel including full-time and temporarry staff and contractors. ",composed of,Human Capital to Policy Association,https://bian.org/servicelandscape-12-0-0/object_6.html?object=216547
